Samplenumber,Date,Day,Transit,Donor,Vessel,Ninetransit,Transitnumber,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate,Isocaproate,Caproate,Heptanoate,Octanoic acid,O2 ,N2 ,H2,CO2,CH4,NH4+,Lactate,Intact_cells_events.ml,SD_intact_cells,log_intact,log_SD_intact,Damaged_cells_events.ml,SD_Damaged_cells,log_damaged,log_SD_damaged,Total_cells_events.ml,SD_total_cells,log_total,log_SD_total,Ratio_cells,SD_ratio,Percentage_intact_cells,SD_percentage_intact
72,15/09/2019,13,LT,1,D,,,55.2292166,30.26258566,1.547464355,12.07374308,2.182833778,0.481918521,0,0.224482848,0,0,,,,,,,,,,,,,,,,,,,,,,,
73,16/09/2019,14,MT,1,P,3,,22.9452271,11.4842578,0.869640914,7.076090001,1.326259666,0,0,0,0,0,,,,,,,,1399171843,280324651.1,9.141468552,0.087600297,1340913561,227902858,9.124241579,0.074171556,2740085404,508227509,9.433996413,0.081019072,1.040712501,0.032174555,50.99141582,0.77268572
74,16/09/2019,14,MT,1,D,3,,33.9000044,16.08042912,1.015885203,10.03097922,1.436256699,0.900396519,0,0.666513765,0,0,,,,,,,,2045969514,366557538,9.307385829,0.07822886,1622651542,260133079.6,9.207416793,0.069923849,3668621056,626690617.6,9.561311223,0.074552175,1.258950744,0.02407344,55.72914589,0.471790604
75,16/09/2019,14,LT,1,P,,,34.32005453,26.38836289,0.380918838,3.63377913,0.899678434,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
76,16/09/2019,14,LT,1,D,,,49.01155157,28.1097619,1.352008495,9.949002411,2.192146346,1.213077821,0,0.561734607,0.140366029,0,,,,,,,,,,,,,,,,,,,,,,,
77,17/09/2019,15,MT,1,P,3,,18.76049551,10.69751888,0.753271496,6.722355183,1.20157698,0,0,0,0,0,,,,,,,,1490616871,119890359.7,9.172662532,0.034968052,1265987672,119504615.2,9.101459851,0.04105686,2756604543,239394974.9,9.439554068,0.03776345,1.178213574,0.016518012,54.08949949,0.348152369
78,17/09/2019,15,MT,1,D,3,,34.14433192,14.91892365,0.979319711,9.582881644,1.348937605,2.621958074,0,2.22827234,0.536233491,0.215343202,,,,,,,,2092700000,84711392.39,9.320528994,0.017584815,1823950000,60457629.79,9.260893607,0.014397996,3916650000,145169022.2,9.592765556,0.016100634,1.147205534,0.00841803,53.42748193,0.18258561
79,17/09/2019,15,LT,1,P,3,,36.47811956,25.56134428,0.324188268,4.108004133,0.719159102,0,0,0,0,0,,,,,,,,1271237624,20373076.57,9.10419885,0.006960377,2502673267,31644778.72,9.398386795,0.005491535,3773910891,52017855.29,9.576771013,0.005986305,0.507941032,0.001717921,33.68436645,0.07555005
80,17/09/2019,15,LT,1,D,3,,53.46921558,29.55942474,1.409657215,8.659583056,2.285915752,3.551436765,0,1.547603647,0.458055895,0,,,,,,,,2236650000,201313300.6,9.348716667,0.039142284,3056750000,256467629.5,9.484494263,0.036481045,5293400000,457780930.1,9.722921164,0.037605341,0.731520467,0.004482532,42.24709613,0.149509786
81,18/09/2019,16,LT,1,P,3,,37.07071194,24.73202737,0.269856274,3.739941683,0.56337526,0,0,0,0,0,,,,,,,,2108489320,12782751.43,9.323967415,0.002632934,1743588097,10000248.27,9.241440324,0.002490884,3852077417,2782503.163,9.58569495,0.000313708,1.209322696,0.014267291,54.73631562,0.292302322
82,18/09/2019,16,LT,1,D,3,18,56.96372667,32.8310769,1.504670417,8.860155436,2.411786216,3.093949372,0,1.251262875,0.420728033,0,0,0,0,0,0,19.36276955,0,2173373855,448038192.3,9.33127452,0.086256265,2267168883,486977287.5,9.34922137,0.088777949,4440542738,931923446.2,9.641425478,0.087106558,0.960005642,0.037680739,48.96726887,0.972972826
172,19/09/2019,17,LT,1,P,3,,34.84367553,24.40920635,0.247285501,3.431081391,0.473454761,0,0,0,0,0,,,,,,,,1908054741,81673252.46,9.280391808,0.018595421,1216598240,58185971.5,9.084898691,0.020778829,3124652981,139859224,9.494584161,0.019445482,1.568540952,0.00788578,61.06720774,0.119529125
173,19/09/2019,17,LT,1,D,3,,52.33047587,31.01129201,1.514563426,7.965470095,2.278182933,2.286818748,0,0.900279809,0.325641403,0,,,,,,,,2745500000,546593541.9,9.434274847,0.08704047,3048500000,627203714.9,9.479440981,0.08999101,5794000000,1173797257,9.758476048,0.088592384,0.901236718,0.006122839,47.40238412,0.169388033
174,20/09/2019,18,LT,1,P,3,,35.1675746,24.99055172,0,2.670645391,0.384480767,0,0,0,0,0,,,,,,,,1660593201,282605592.9,9.217095709,0.074269663,1682169288,245021330.3,9.223553871,0.063483563,3342762488,527626923.3,9.521383531,0.068836516,0.985391486,0.024470581,49.62827383,0.620847539
175,20/09/2019,18,LT,1,D,3,,51.13231092,30.49871675,1.433518769,7.531236597,2.340377138,3.101293385,0,1.120891185,0.432547496,0,,,,,,,,2514542572,100410443.9,9.400285797,0.017346812,3057459239,283668951.4,9.484424057,0.040351499,5572001812,384079395.3,9.745494761,0.029959761,0.824453773,0.043651111,45.17338211,1.311758528
176,21/09/2019,19,LT,1,P,3,,36.12273192,26.40657745,0,3.502949834,0.3548053,0,0,0,0,0,,,,,,,,2129526316,691997025.8,9.316504455,0.143690971,1561526316,538071044.3,9.180259239,0.152720904,3691052632,1230068070,9.554744317,0.147503493,1.368649214,0.028455163,57.77879822,0.507213642
